ゆうちょ銀行,9900
みずほ銀行,0001
三菱ＵＦＪ銀行,0005
三井住友銀行,0009
りそな銀行,0010
埼玉りそな銀行,0017
ＰａｙＰａｙ銀行,0033
セブン銀行,0034
ソニー銀行,0035
楽天銀行,0036
住信ＳＢＩネット銀行,0038
ａｕじぶん銀行,0039
イオン銀行,0040
大和ネクスト銀行,0041
ローソン銀行,0042
みんなの銀行,0043
ＵＩ銀行,0044
北海道銀行,0116
青森銀行,0117
みちのく銀行,0118
秋田銀行,0119
北都銀行,0120
荘内銀行,0121
山形銀行,0122
岩手銀行,0123
東北銀行,0124
七十七銀行,0125
東邦銀行,0126
群馬銀行,0128
足利銀行,0129
常陽銀行,0130
筑波銀行,0131
武蔵野銀行,0133
千葉銀行,0134
千葉興業銀行,0135
きらぼし銀行,0137
横浜銀行,0138
第四北越銀行,0140
山梨中央銀行,0142
八十二銀行,0143
北陸銀行,0144
富山銀行,0145
北國銀行,0146
福井銀行,0147
静岡銀行,0149
スルガ銀行,0150
清水銀行,0151
大垣共立銀行,0152
十六銀行,0153
三十三銀行,0154
百五銀行,0155
滋賀銀行,0157
京都銀行,0158
関西みらい銀行,0159
池田泉州銀行,0161
南都銀行,0162
紀陽銀行,0163
但馬銀行,0164
鳥取銀行,0166
山陰合同銀行,0167
中国銀行,0168
広島銀行,0169
山口銀行,0170
阿波銀行,0172
百十四銀行,0173
伊予銀行,0174
四国銀行,0175
福岡銀行,0177
筑邦銀行,0178
佐賀銀行,0179
十八親和銀行,0181
肥後銀行,0182
大分銀行,0183
宮崎銀行,0184
鹿児島銀行,0185
琉球銀行,0187
沖縄銀行,0188
西日本シティ銀行,0190
北九州銀行,0191
三菱ＵＦＪ信託銀行,0288
みずほ信託銀行,0289
三井住友信託銀行,0294
日本マスタートラスト信託銀行,0297
ＳＭＢＣ信託銀行,0300
野村信託銀行,0304
オリックス銀行,0307
ＧＭＯあおぞらネット銀行,0310
日本カストディ銀行,0324
新生銀行,0397
あおぞら銀行,0398
シティバンク、エヌ・エイ,0401
ジェーピーモルガン銀行,0402
アメリカ銀行,0403
香港上海銀行,0411
ドイツ銀行,0430
ＳＢＪ銀行,0472
北洋銀行,0501
きらやか銀行,0508
北日本銀行,0509
仙台銀行,0512
福島銀行,0513
大東銀行,0514
東和銀行,0516
栃木銀行,0517
京葉銀行,0522
東日本銀行,0525
東京スター銀行,0526
神奈川銀行,0530
大光銀行,0532
長野銀行,0533
富山第一銀行,0534
福邦銀行,0537
静岡中央銀行,0538
愛知銀行,0542
名古屋銀行,0543
中京銀行,0544
みなと銀行,0562
島根銀行,0565
トマト銀行,0566
もみじ銀行,0569
西京銀行,0570
徳島大正銀行,0572
香川銀行,0573
愛媛銀行,0576
高知銀行,0578
福岡中央銀行,0582
佐賀共栄銀行,0583
長崎銀行,0585
熊本銀行,0587
豊和銀行,0590
宮崎太陽銀行,0591
南日本銀行,0594
沖縄海邦銀行,0596